Metabolite 1,Metabolite 2,Sign
"3-Methylpiperazine-2,5-dione, (R)-",Benzophenone,1.0
Diphenyl ether,Doconexent,1.0
"1-Butanamine, N,N-diethyl-",Heptanoic acid,1.0
Benzeneacetic acid,Methylmalonic monoamide,1.0
Levulinic acid,Triethanolamine,1.0
alpha-Tocopherol,Tartronic acid,1.0
4-Hydroxybenzeneacetic acid,Propylamine,1.0
9-Octadecenoic acid,Niclosamide,1.0
12-Oxooctadecanoate,Pentadecanoic acid,1.0
"Acetin, bis-1,3-trimethylsilyl ether",Methyl aminoacetate,1.0
Niclosamide,Phloroglucinol,1.0
3-Hydroxyisovaleric acid,Glyoxime,1.0
"1,2-Benzenedicarboxylic acid",Lactic Acid,1.0
3'-Hydroxyacetophenone,Cyclohexanol,1.0
Phenoxyacetic acid,"Propanoic acid, 2-methyl-",1.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",p-Toluic acid,1.0
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",Cyclohexanol,1.0
Diphenyl ether,"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",1.0
"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",Salsoline,1.0
"2,4-Diamino-6,7-dimethylpteridine","4-Fluoroaniline, N-trimethylsilyl-",1.0
3-Methyladenine,Glyoxime,1.0
"Propanetriol, 2-methyl-",Salsoline,1.0
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",3-Amino-5-morpholinomethyl-2-oxazolidinone,1.0
"1-Butanamine, N,N-diethyl-",12-Oxooctadecanoate,1.0
"15-Oxo-11Z,13E-eicosadienoic acid",5-Hydroxyquinoline,1.0
3-Amino-5-morpholinomethyl-2-oxazolidinone,"Acetamide, N,N-diethyl-",1.0
"Inosose-2, 1,3,4,5,6-pentakis-",Trisaminol,1.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Pantolactone,1.0
(pm)-Phenylpropanolamine,n-Butylamine,1.0
Niclosamide,"Propanoic acid, 2-methyl-",1.0
"2,4-Diamino-6,7-dimethylpteridine","Cyclohexanone, 3,3,5-trimethyl-",1.0
3-Amino-5-morpholinomethyl-2-oxazolidinone,5-Hydroxytryptophan,1.0
"3,5-Dimethylpyrazole","Inosose-2, 1,3,4,5,6-pentakis-",1.0
Acetoacetic acid,Benzeneacetic acid,1.0
"Benzimidazole, 5-trifluoromethyl-2-methyl-",DL-Glyceraldehyde,1.0
Benzophenone,Levulinic acid,1.0
3-Amino-5-morpholinomethyl-2-oxazolidinone,alpha-Tocopherol,1.0
L-5-Oxoproline,Phloroglucinol,1.0
10-Heptadecenoic acid,Doconexent,1.0
Levulinic acid,Salsoline,1.0
5-Hydroxytryptophan,Dinoseb ,1.0
"2,4-Decadienal",Heptadecanoic acid,1.0
"2,4-Decadienal",Hydracrylic acid,1.0
Acetoacetic acid,"Propanetriol, 2-methyl-",1.0
5-Hydroxyquinoline,7-(Trimethylsilyl)amino-4-methylcoumarin,1.0
alpha-Tocopherol,"Cholest-7-en-3-ol, (3beta,5alpha)-",1.0
"6,8-Dioxapentadecane",Methyl aminoacetate,1.0
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",S-Methyl-L-cysteine,1.0
3-Hydroxyisovaleric acid,Phloroglucinol,1.0
Dehydronorketamine,"Dodecanamide, N-(2-hydroxyethyl)-",1.0
Glycine,"Tacrine, N-trimethylsilyl-",1.0
Uracil,Uridine,1.0
13-Docosenamide,"Benzene, 1,1'-(1,2-cyclobutanediyl)bis-",1.0
"1-Propanamine, N,N-diethyl- ",Hexanoic acid,1.0
3-Aminobutanoic acid,"Guanidine, N,N-dimethyl-",1.0
7-(Trimethylsilyl)amino-4-methylcoumarin,Niclosamide,1.0
"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]- ",cyclobutanecarboxylic acid,1.0
2-Hydroxy-5-methoxybenzaldehyde,Niclosamide,1.0
Butylated Hydroxytoluene,Phenol,1.0
"Benzoic acid, pentadecyl ester","Stigmast-5-ene, 3beta-",1.0
L-5-Oxoproline,"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",1.0
"Acetamide, N,N-diethyl-",Phenol,1.0
"1-Phenyl-1,2-ethanediol",Decanoic acid,1.0
(CH3)2C=NC2H558,Octanoic acid,1.0
3'-Hydroxyacetophenone,Triethanolamine,1.0
Benzophenone,Glycine,1.0
4-(Trimethylsilyoxy)-3-penten-2-one,Octanoic acid,1.0
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-", 5-Hydroxyhexanoic acid,1.0
Phenol,phenoxyethanol,1.0
"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",Pimelic acid,1.0
"1,4-Butanediol",Aceturic acid,1.0
5-Hydroxytryptophan,Neostigmine ,1.0
2-Ethyl-3-hydroxypropionic acid,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",Glyoxime,1.0
"1-Butanamine, N,N-diethyl-","3-Buten-2-one, 3-trimethylsilyloxy-",1.0
3-Methyladenine,"3-Methylpiperazine-2,5-dione, (R)-",1.0
2-Methyl-4-pentenoic acid,2-Naphthol,1.0
4-Cumylphenol,"N,N-Diethyl-2-aminoethanol",1.0
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",Cyclohexanol,1.0
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",L-Threitol,1.0
"5-Androsten-17alpha-methyl-3beta,17beta-diol",Triethanolamine,1.0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Picolinic acid,1.0
Glycine,Nonadecanoic acid,1.0
1-Cyclopentylethanol,Pentadecanoic acid,1.0
Hydantoic acid,N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,1.0
Diphenyl ether,Glycine,1.0
4-Hydroxybenzeneacetic acid,Glyceric acid,1.0
"Acetin, bis-1,3-trimethylsilyl ether",D-(-)-Citramalic acid,1.0
"1-Butanamine, N,N-diethyl-",Hexanoic acid,1.0
"2,4-Decadienal","3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1.0
"3,5-Dimethylpyrazole",Isofucosterol,1.0
1-Octadecanol,2-Hydroxy-5-methoxybenzaldehyde,1.0
"Benzimidazole, 5-trifluoromethyl-2-methyl-",p-Toluic acid,1.0
2-Hydroxy-5-methoxybenzaldehyde,Salsoline,1.0
Cholesterol,"Inosose-2, 1,3,4,5,6-pentakis-",1.0
Glycolic acid,Malic acid,1.0
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",Nonadecanoic acid,1.0
"3,5-Dimethylpyrazole","cis-4,5-Dihydroxy-o-dithiane, 2O-",1.0
"1-Propanamine, N,N-diethyl- ",2-Naphthol,1.0
"3-Methylpiperazine-2,5-dione, (R)-","Tacrine, N-trimethylsilyl-",1.0
5-Hydroxyquinoline,"Dodecane, 4,6-dimethyl-",1.0
"Guanidine, N,N-dimethyl-",Hexanoic acid,1.0
L-5-Oxoproline,Neostigmine ,1.0
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",Indole-5-carboxylic acid,1.0
Benzeneacetic acid,Ethanolamine,1.0
"3,5-Dimethylpyrazole","Benzoic acid, pentadecyl ester",1.0
"1,5-Anhydroglucitol",Glycolic acid,1.0
10-Heptadecenoic acid,Cyclohexanol,1.0
Glyoxime,Isopropyl palmitate,1.0
5-Hydroxytryptophan,alpha-Tocopherol,1.0
alpha-Tocopherol,"Propanoic acid, 2-methyl-",1.0
12-Oxooctadecanoate,Levulinic acid,1.0
Phloroglucinol,Tartronic acid,1.0
"2-Allyl-1,4-dimethoxybenzene", 5-Hydroxyhexanoic acid,1.0
5-Hydroxytryptophan,Methyl aminoacetate,1.0
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",Azatadine,1.0
"Glycine, N-(1-oxobutyl)-",Malic acid,1.0
1-Cyclopentylethanol,Methyl aminoacetate,1.0
3-Hexenedinitrile,4-Cumylphenol,1.0
3-Amino-5-morpholinomethyl-2-oxazolidinone,Hydantoic acid,1.0
"Benzaldehyde, 2,5-dimethyl-","Stigmast-5-ene, 3beta-",1.0
"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE","Benzoic acid, pentadecyl ester",1.0
1-Cyclopentylethanol,Tartronic acid,1.0
(CH3)2C=NC2H558,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",1.0
"Benzoic acid, pentadecyl ester","Propanetriol, 2-methyl-",1.0
Isopropyl palmitate,Phloroglucinol,1.0
3-Hydroxyisovaleric acid,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",1.0
3-Hydroxyisovaleric acid,Butylated Hydroxytoluene,1.0
"Benzimidazole, 5-trifluoromethyl-2-methyl-",Neostigmine ,1.0
Azatadine,Phenol,1.0
"cis-4,5-Dihydroxy-o-dithiane, 2O-",n-Butylamine,1.0
Acetoacetic acid,Itaconic acid,1.0
12-Oxooctadecanoate,Triethanolamine,1.0
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-","Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1.0
1-Monoacetin,Phloroglucinol,1.0
Benzophenone,"Propanoic acid, 2-methyl-",1.0
L-Proline,N-Isovaleroylglycine,1.0
3-Hexenedinitrile,Isofucosterol,1.0
Niclosamide,Pantolactone,1.0
"Benzoic acid, pentadecyl ester",Butylated Hydroxytoluene,1.0
Benzoic Acid,"Furan, 2-pentyl-",1.0
Glycine,Salsoline,1.0
"3-Buten-2-one, 3-trimethylsilyloxy-",Pyrrole-2-carboxylic acid,1.0
"2-Propanone, bis(1-methylethyl)hydrazone",Cyclohexanol,1.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",Heptadecanoic acid,1.0
7-(Trimethylsilyl)amino-4-methylcoumarin,Isofucosterol,1.0
"2-Allyl-1,4-dimethoxybenzene","Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
"2,3,4-Trihydroxybutyric acid tetrakis",D-Fructose,1.0
"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",Cyclohexanol,1.0
L-Tryptophan,"Tacrine, N-trimethylsilyl-",1.0
alpha-Tocopherol,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1.0
Dodecanoic acid,Octanoic acid,1.0
5-Hydroxytryptophan,Benzophenone,1.0
"2,3,4-Trihydroxybutyric acid tetrakis",Methylmalonic monoamide,1.0
Indole-3-lactic acid,"L-Tryptophan, N-acetyl-1",1.0
"1-Butanamine, N,N-diethyl-",Azatadine,1.0
1-Cyclopentylethanol,Pimelic acid,1.0
"1,3,5-Benzetriol",Benzophenone,1.0
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",Tartronic acid,1.0
2-Heptenoic acid,cyclobutanecarboxylic acid,1.0
Glycine,Isopropyl palmitate,1.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",Hexanoic acid,1.0
1-Deoxypentitol,"Benzimidazole, 5-trifluoromethyl-2-methyl-",1.0
4-Cumylphenol,Levulinic acid,1.0
alpha-Tocopherol,N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,1.0
"2,4-Diamino-6,7-dimethylpteridine",4-Methoxyphenol,1.0
3-Hydroxybutyric acid,Uridine,1.0
Norketamine,phenoxyethanol,1.0
(CH3)2C=NC2H558,Glyoxime,1.0
3-Hexenedinitrile,Phloroglucinol,1.0
1-Octanol,Pantolactone,1.0
2-Hydroxy-5-methoxybenzaldehyde,3-Hydroxyisovaleric acid,1.0
"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",p-Toluic acid,1.0
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-","Cyclopentaneacetic acid, 3-oxo-2-pentyl-",1.0
3-Hydroxyisovaleric acid,Methyl aminoacetate,1.0
Isofucosterol,Pimelic acid,1.0
1-Octanol,4-Cumylphenol,1.0
Itaconic acid,Triethanolamine,1.0
Niclosamide,Salsoline,1.0
"2,5-Dimethoxybenzhydrazide","3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-",1.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",Neostigmine ,1.0
1-Octanol,12-Oxooctadecanoate,1.0
"1,3,5-Trimethyl-1H-pyrazol-4-amine",Phenoxyacetic acid,1.0
"1,4-Butanediol",Methyl aminoacetate,1.0
5-Hydroxyquinoline,Benzeneacetic acid,1.0
5-Hydroxyquinoline,Tartronic acid,1.0
"1,5-Anhydroglucitol","3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1.0
Benzeneacetic acid,"Propanetriol, 2-methyl-",1.0
DL-Glyceraldehyde,Methylmalonic monoamide,1.0
alpha-Tocopherol,Isopropyl palmitate,1.0
3-Hexenedinitrile,Pimelic acid,1.0
"Acetamide, N,N-diethyl-",Azatadine,1.0
"Benzaldehyde, 2,5-dimethyl-",Nonadecanoic acid,1.0
Aceturic acid,"Propanetriol, 2-methyl-",1.0
"Benzoic acid, pentadecyl ester","Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",1.0
"3,5-di-tert-Butyl-4-hydroxyacetophenone",Campesterol,1.0
4-Cumylphenol,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
1-Cyclopentylethanol,3-Amino-5-morpholinomethyl-2-oxazolidinone,1.0
Heptanoic acid,Levulinic acid,1.0
1-Cyclopentylethanol,"Propanoic acid, 2-methyl-",1.0
Arachidonic acid,"Propanetriol, 2-methyl-",1.0
Dihydrouracil,Uridine,1.0
DL-Ornithine,L-Methionine,1.0
Octanoic acid,Pentadecanoic acid,1.0
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",Phloroglucinol,1.0
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",2-Methyl-4-pentenoic acid,1.0
"1,3,5-Benzetriol","3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1.0
9-Octadecenoic acid,Benzeneacetic acid,1.0
2-Hydroxy-5-methoxybenzaldehyde,5-Henicosylresorcinol,1.0
"1,3,5-Trimethyl-1H-pyrazol-4-amine",Azatadine,1.0
2-Ethyl-3-hydroxypropionic acid,"Benzoic acid, pentadecyl ester",1.0
9-Octadecenoic acid,Phenoxyacetic acid,1.0
"1-Butanamine, N,N-diethyl-",1-Octanol,1.0
Levulinic acid,"Propanetriol, 2-methyl-",1.0
4-(Trimethylsilyoxy)-3-penten-2-one,Triethanolamine,1.0
"Benzenemethanamine, 2,3-dimethoxy-",S-Methyl-L-cysteine,1.0
"5-Androsten-17alpha-methyl-3beta,17beta-diol",Benzeneacetic acid,1.0
3-Hydroxyisovaleric acid,Nonadecanoic acid,1.0
3-Hexenedinitrile,4-Methylvaleric acid,1.0
Glycine,"N,N-Diethyl-2-aminoethanol",1.0
Propylamine,Tartronic acid,1.0
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",4-(Trimethylsilyoxy)-3-penten-2-one,1.0
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",Glyoxime,1.0
Aceturic acid,Doconexent,1.0
1-Cyclopentylethanol,"Stigmast-5-ene, 3beta-",1.0
Dinoseb ,Tartronic acid,1.0
2-Ethyl-3-hydroxypropionic acid,Salsoline,1.0
p-Toluic acid,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
12-Oxooctadecanoate,3-Hydroxyisovaleric acid,1.0
"3-Methylpiperazine-2,5-dione, (R)-",Neostigmine ,1.0
Itaconic acid,"Propanetriol, 2-methyl-",1.0
"Dodecane, 4,6-dimethyl-",Propylamine,1.0
1-Monoacetin,Triethanolamine,1.0
Dinoseb ,Phloroglucinol,1.0
1-Octanol,"1-Octene, 2-methyl-",1.0
"1,4-Butanediol",Glyoxime,1.0
"Benzaldehyde, 2,5-dimethyl-",Methyl aminoacetate,1.0
9-Octadecenoic acid,alpha-Tocopherol,1.0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate","Propanoic acid, 2-methyl-",1.0
"Benzoic acid, pentadecyl ester",Glyoxime,1.0
"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",Indole-5-carboxylic acid,1.0
Isopropyl palmitate,Nonadecanoic acid,1.0
"3-Methylpiperazine-2,5-dione, (R)-",3-Ureidopropionic acid,1.0
2-Hydroxy-5-methoxybenzaldehyde,"Benzaldehyde, 2,5-dimethyl-",1.0
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",Cyclohexanol,1.0
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",Dinoseb ,1.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene","Benzoic acid, pentadecyl ester",1.0
Methyl-3-methoxy-5-methyl benzoate,Tartronic acid,1.0
Phloroglucinol,"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",1.0
Diphenyl ether,Indole-5-carboxylic acid,1.0
1-Octanol,"1-Propanamine, N,N-diethyl- ",1.0
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",Desmosterol,1.0
Cyclohexanol,Phenol,1.0
2-Ethyl-3-hydroxypropionic acid,Phlorizin,1.0
5-Hydroxytryptophan,"Benzoic acid, pentadecyl ester",1.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",5-Hydroxytryptophan,1.0
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",4-Cumylphenol,1.0
3-Amino-5-morpholinomethyl-2-oxazolidinone,4-Cumylphenol,1.0
5-Hydroxytryptophan,Campesterol,1.0
2-Hydroxy-5-methoxybenzaldehyde,Heptadecanoic acid,1.0
Benzeneacetic acid,Tartronic acid,1.0
Indole-5-carboxylic acid,Nonanal,1.0
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-","Stigmast-5-ene, 3beta-",1.0
Heptadecanoic acid,Hexanoic acid,1.0
"2,6-Dimethoxybenzylamine",Aspartic acid,1.0
Pentanoic acid,S-Methyl-L-cysteine,1.0
(CH3)2C=NC2H558,1-Cyclopentylethanol,1.0
"15-Oxo-11Z,13E-eicosadienoic acid",DL-Glyceraldehyde,1.0
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",N-Isobutyl-sec-butylamine,1.0
1-Monoacetin,L-5-Oxoproline,1.0
Glycine,Methyl aminoacetate,1.0
alpha-Tocopherol,Campesterol,1.0
5-Henicosylresorcinol,Cyclohexanol,1.0
1-Octanol,Nonanal,1.0
"Glycine, N-(N-DL-leucylglycyl)-",Levulinic acid,1.0
10-Heptadecenoic acid,4-(Trimethylsilyoxy)-3-penten-2-one,1.0
12-Oxooctadecanoate,Nonadecanoic acid,1.0
"Benzaldehyde, 2,5-dimethyl-",Benzophenone,1.0
1-Cyclopentylethanol,2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid,1.0
2-Ethyl-3-hydroxypropionic acid,"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",1.0
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-","N,N-Diethyl-2-aminoethanol",1.0
1-Octanol,"2,4-Diamino-6,7-dimethylpteridine",1.0
Aceturic acid, 5-Hydroxyhexanoic acid,1.0
"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",Pimelic acid,1.0
Methylmalonic monoamide,"Propanetriol, 2-methyl-",1.0
"Cyclohexanone, 3,3,5-trimethyl-",Pantolactone,1.0
L-Threitol,N-Isovaleroylglycine,1.0
"3,5-Dimethylpyrazole","3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1.0
"5-Androsten-17alpha-methyl-3beta,17beta-diol",9-Octadecenoic acid,1.0
D-(-)-Citramalic acid,Diphenyl ether,1.0
Doconexent,Palmitelaidic acid,1.0
"2,3,4-Trihydroxybutyric acid tetrakis",Indole-3-lactic acid,1.0
2-Methyl-4-pentenoic acid,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",1.0
"1-Octene, 2-methyl-",Levulinic acid,1.0
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",5-Hydroxytryptophan,1.0
13-Docosenamide,"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin ",1.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",DL-Glyceraldehyde,1.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Triethanolamine,1.0
3-Hydroxyisovaleric acid,Pentanoic acid,1.0
3-Hexenedinitrile,Triethanolamine,1.0
Aceturic acid,DL-Glyceraldehyde,1.0
"1-Octene, 2-methyl-",3-Hydroxyisovaleric acid,1.0
"1-Butanamine, N,N-diethyl-",Pantolactone,1.0
1-Monoacetin,alpha-Tocopherol,1.0
Itaconic acid,Nonanal,1.0
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,Benzophenone,1.0
3-Ureidopropionic acid,"Benzaldehyde, 2,5-dimethyl-",1.0
Diphenyl ether,Pimelic acid,1.0
2-Methyl-4-pentenoic acid,3-Hydroxyisovaleric acid,1.0
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",2-Butenedioic acid,1.0
4-Methoxyphenol,Cyclohexanol,1.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",Acetoacetic acid,1.0
"15-Oxo-11Z,13E-eicosadienoic acid",3-Amino-5-morpholinomethyl-2-oxazolidinone,1.0
"Cyclohexanone, 3,3,5-trimethyl-",Valylglycine,1.0
1-Octanol,2-Ethyl-3-hydroxypropionic acid,1.0
D-Fructose,Niclosamide,1.0
"3-Methyl-2-butenoic acid, tridec-2-ynyl ester","Acetic acid, bis[(trimethylsilyl)oxyl]-",1.0
2-Methyl-4-pentenoic acid,Salsoline,1.0
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",Glyoxime,1.0
L-Aspartic acid,L-Glutamic acid,1.0
4-Methylvaleric acid,Butylated Hydroxytoluene,1.0
(CH3)2C=NC2H558,Pentanoic acid,1.0
2-Ethyl-3-hydroxypropionic acid,Arachidonic acid,1.0
2-Ethyl-3-hydroxypropionic acid,"Stigmast-5-ene, 3beta-",1.0
"Cholesta-3,5-dien-7-one",N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,1.0
3-Hydroxyisovaleric acid,D-(-)-Citramalic acid,1.0
1-Aminocyclopropanecarboxylic acid,3-Amino-2-piperidone,1.0
alpha-Tocopherol,Methyl-3-methoxy-5-methyl benzoate,1.0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Glycine,1.0
4-(Trimethylsilyoxy)-3-penten-2-one,Dodecanoic acid,1.0
L-Glutamic acid,"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",1.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",7-(Trimethylsilyl)amino-4-methylcoumarin,1.0
2-Naphthol,Levulinic acid,1.0
Myristic acid,Pentadecanoic acid,1.0
4-Methoxyphenol,4-Methylvaleric acid,1.0
"2-Allyl-1,4-dimethoxybenzene",Arachidonic acid,1.0
"3,5-Dimethylpyrazole",Phenoxyacetic acid,1.0
"3-Buten-2-one, 3-trimethylsilyloxy-","Cyclohexanone, 3,3,5-trimethyl-",1.0
2-Ethyl-3-hydroxypropionic acid,Nonadecanoic acid,1.0
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,1.0
"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE","beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",1.0
Indole-5-carboxylic acid,Tartronic acid,1.0
Glyoxime,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",Syringaldehyde,1.0
4-Methoxyphenol,Glyoxime,1.0
"1,3-bis[(Trimethylsilyl)ethynyl]benzene",S-Methyl-L-cysteine,1.0
DL-Ornithine,DL-Phenylalanine,1.0
Benzeneacetic acid,Uridine,1.0
2-Ethyl-3-hydroxypropionic acid,"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",1.0
1-Octanol,"Benzimidazole, 5-trifluoromethyl-2-methyl-",1.0
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-","Benzoic acid, pentadecyl ester",1.0
 5-Hydroxyhexanoic acid,Propylamine,1.0
1-Cyclopentylethanol,L-Glutamic acid,1.0
"Acetic acid, bis[(trimethylsilyl)oxyl]-",Hexanoic acid,1.0
Glyoxime,"Propanoic acid, 2-methyl-",1.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",Picolinic acid,1.0
"1-Propanamine, N,N-diethyl- ",Dodecanoic acid,1.0
3-Amino-5-morpholinomethyl-2-oxazolidinone,Myristic acid,1.0
"Benzaldehyde, 2,5-dimethyl-",Glycine,1.0
3-Ureidopropionic acid,Arachidonic acid,1.0
Hydroquinidine,Pimelic acid,1.0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Itaconic acid,1.0
L-5-Oxoproline,Salsoline,1.0
"Acetic acid, bis[(trimethylsilyl)oxyl]-","Cyclohexanone, 3,3,5-trimethyl-",1.0
5-Hydroxytryptophan,Hexanoic acid,1.0
"Benzaldehyde, 2,5-dimethyl-",Niclosamide,1.0
Hydroquinidine,L-5-Oxoproline,1.0
2-Naphthol,"Propanoic acid, 2-methyl-",1.0
"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",Propylamine,1.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene","Cyclopentanone, 2,2,4-trimethyl-",1.0
"1,2-Benzenedicarboxylic acid",Tris(trimethylsilyl)carbamate,1.0
1-Monoacetin,"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",1.0
2-Methyl-4-pentenoic acid,Isopropyl palmitate,1.0
5-Hydroxyquinoline,cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate,1.0
"1-Propanamine, N,N-diethyl- ","Acetamide, N,N-diethyl-",1.0
1-Monoacetin,Isofucosterol,1.0
L-Glutamic acid,Phloroglucinol,1.0
4-(Trimethylsilyoxy)-3-penten-2-one,Heptadecanoic acid,1.0
5-Henicosylresorcinol,"Benzenemethanamine, 2,3-dimethoxy-",1.0
1-Cyclopentylethanol,Salsoline,1.0
"2,4-Diamino-6,7-dimethylpteridine",4-Methylvaleric acid,1.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",Doconexent,1.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate,1.0
"2,4-Diamino-6,7-dimethylpteridine","Benzaldehyde, 2,5-dimethyl-",1.0
"15-Oxo-11Z,13E-eicosadienoic acid",Dihydrouracil,1.0
3-Amino-5-morpholinomethyl-2-oxazolidinone,Dinoseb ,1.0
1-Cyclopentylethanol,2-Ethyl-3-hydroxypropionic acid,1.0
