Gene,ctx_direction,Metabolite,cpx_direction,Sign,edge_direction
ENSMUSG00000036712-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000036712-B,-1.0,3-Buten-2-one,,-,
ENSMUSG00000036712-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000036712-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000036712-B,-1.0,"Cytosine, N-(tert-butyldimethylsilyl)-",1.0,-,-1.0
ENSMUSG00000036712-B,-1.0,"Dodecanoic acid, 1-methylethyl ester",1.0,-,-1.0
ENSMUSG00000036712-B,-1.0,Guanosine,-1.0,+,1.0
ENSMUSG00000036712-B,-1.0,Isopropyl palmitate,1.0,-,-1.0
ENSMUSG00000036712-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000036712-B,-1.0,L-Tryptophan,1.0,-,-1.0
ENSMUSG00000036712-B,-1.0,Luciferin,,-,
ENSMUSG00000036712-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000036712-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000036712-B,-1.0,Tyr-Val,,-,
ENSMUSG00000036885-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000036885-B,-1.0,Tyr-Val,,+,
ENSMUSG00000036908-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000036908-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000036908-B,-1.0,Chlorobenzilate ,,-,
ENSMUSG00000036908-B,-1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000036915-B,1.0,"1-Heptanol, 2-propyl-",,+,
ENSMUSG00000036915-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000036915-B,1.0,6-Nitroveratryl alcohol,,+,
ENSMUSG00000036915-B,1.0,Glabridin,,+,
ENSMUSG00000036915-B,1.0,Luciferin,,+,
ENSMUSG00000036915-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000036915-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000037025-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000037025-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000037025-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000037025-B,-1.0,Chlorobenzilate ,,-,
ENSMUSG00000037025-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000037025-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000037025-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000037025-B,-1.0,Octadecanoic acid,,+,
ENSMUSG00000037103-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000037103-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000037103-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000037103-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000037103-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000037148-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000037148-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000037148-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000037148-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000037148-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000037148-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000037148-B,1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,+,
ENSMUSG00000037341-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000037341-B,1.0,"4,5-Dihydro-1H-pyrazole",,-,
ENSMUSG00000037341-B,1.0,Isosorbide,,+,
ENSMUSG00000037341-B,1.0,"L-Histidine, N,1-bis(tert-butyldimethylsilyl)-",,-,
ENSMUSG00000037341-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000037341-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000037353-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000037353-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000037353-B,1.0,2-Ethyl-1-butanol,-1.0,+,-1.0
ENSMUSG00000037353-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000037353-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000037353-B,1.0,Chlorobenzilate ,,-,
ENSMUSG00000037353-B,1.0,Isosorbide,,-,
ENSMUSG00000037353-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000037366-B,-1.0,"3,3-Dimethylacrylic acid",,+,
ENSMUSG00000037366-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000037366-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000037366-B,-1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,+,
ENSMUSG00000037366-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000037366-B,-1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,-,
ENSMUSG00000037366-B,-1.0,Tyr-Val,,-,
ENSMUSG00000037437-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000037437-B,1.0,8-Methylnonanoic acid,-1.0,+,-1.0
ENSMUSG00000037437-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000037437-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000037437-B,1.0,Oleic Acid,,+,
ENSMUSG00000037437-B,1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,+,
ENSMUSG00000037514-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000037514-B,1.0,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",,-,
ENSMUSG00000037514-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000037514-B,1.0,"2,4-Di-tert-butylphenol",-1.0,-,-1.0
ENSMUSG00000037514-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000037514-B,1.0,Butanedioic acid,-1.0,-,-1.0
ENSMUSG00000037514-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000037514-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000037514-B,1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,-,
ENSMUSG00000037514-B,1.0,Tyr-Val,,+,
ENSMUSG00000037578-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000037578-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000037578-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000037578-B,1.0,Chlorobenzilate ,,+,
ENSMUSG00000037578-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000037578-B,1.0,Glabridin,,+,
ENSMUSG00000037578-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000037578-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000037709-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000037709-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000037709-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000037709-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000037709-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000037709-B,1.0,Norephedrine,,+,
ENSMUSG00000037709-B,1.0,Octadecanoic acid,,-,
ENSMUSG00000037824-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000037824-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000037824-B,-1.0,Isosorbide,,-,
ENSMUSG00000037824-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000038070-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000038070-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000038070-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000038070-B,1.0,Chlorobenzilate ,,+,
ENSMUSG00000038070-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000038070-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000038070-B,1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,+,
ENSMUSG00000038324-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000038324-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000038324-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000038324-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000038324-B,-1.0,"4,5-Dihydro-1H-pyrazole",,+,
ENSMUSG00000038324-B,-1.0,Glycine,-1.0,-,1.0
ENSMUSG00000038324-B,-1.0,Isosorbide,,-,
ENSMUSG00000038324-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000038324-B,-1.0,Octacosanol,-1.0,-,1.0
ENSMUSG00000038324-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000038344-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000038344-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000038344-B,1.0,Chlorobenzilate ,,+,
ENSMUSG00000038344-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000038344-B,1.0,Isosorbide,,-,
ENSMUSG00000038344-B,1.0,L-Ornithine,,+,
ENSMUSG00000038344-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000038344-B,1.0,Octadecanoic acid,,-,
ENSMUSG00000038371-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000038371-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000038371-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000038371-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000038371-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000038371-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000038371-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000038371-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000038371-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000038453-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000038453-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000038453-B,-1.0,"4,5-Dihydro-1H-pyrazole",,+,
ENSMUSG00000038507-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000038507-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000038507-B,1.0,Luciferin,,-,
ENSMUSG00000038507-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000038564-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000038564-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000038564-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000038564-B,1.0,4-Methylvaleric acid,,+,
ENSMUSG00000038564-B,1.0,Glabridin,,+,
ENSMUSG00000038564-B,1.0,Isosorbide,,+,
ENSMUSG00000038564-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000038605-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000038605-B,-1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,-,
ENSMUSG00000038605-B,-1.0,Isosorbide,,-,
ENSMUSG00000038605-B,-1.0,Luciferin,,-,
ENSMUSG00000038605-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000038756-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000038756-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000038756-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000038816-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000038816-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000038816-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000038816-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000038816-B,1.0,Frangulin,1.0,+,1.0
ENSMUSG00000038816-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000038816-B,1.0,Sarcosine,,+,
ENSMUSG00000038816-B,1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,+,
ENSMUSG00000038816-B,1.0,Tyr-Val,,+,
ENSMUSG00000038843-B,-1.0,2-Ethyl-1-butanol,-1.0,+,1.0
ENSMUSG00000038843-B,-1.0,Diclofenac,,+,
ENSMUSG00000038843-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000038843-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000038900-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000038900-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000038900-B,1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000038900-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000038900-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000038900-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000039086-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000039086-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000039086-B,-1.0,2-Ethyl-1-butanol,-1.0,+,1.0
ENSMUSG00000039086-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000039086-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000039086-B,-1.0,4-Methylvaleric acid,,+,
ENSMUSG00000039086-B,-1.0,Isosorbide,,-,
ENSMUSG00000039086-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000039086-B,-1.0,Luciferin,,-,
ENSMUSG00000039086-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000039191-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000039191-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000039191-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000039191-B,1.0,Prostaglandin,,-,
ENSMUSG00000039191-B,1.0,Tyr-Val,,+,
ENSMUSG00000039367-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000039367-B,-1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000039367-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000039367-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000039367-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000039477-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000039477-B,-1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000039477-B,-1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000039477-B,-1.0,"Benzene, 1-ethyl-3,5-dimethyl",,-,
ENSMUSG00000039477-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000039477-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000039477-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000039477-B,-1.0,Octadecanoic acid,,+,
ENSMUSG00000039512-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000039512-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000039512-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000039512-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000039512-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000039512-B,1.0,Isosorbide,,+,
ENSMUSG00000039512-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000039512-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000039536-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000039536-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000039536-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000039536-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000039536-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000039536-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000039536-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000039536-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000039828-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000039828-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000039828-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000039828-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000039828-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000039828-B,1.0,Isosorbide,,+,
ENSMUSG00000039828-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000039828-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000039835-B,-1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000039835-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000039835-B,-1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000039835-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000039835-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000039835-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000039883-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000039883-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000039883-B,-1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000039883-B,-1.0,Isosorbide,,+,
ENSMUSG00000039883-B,-1.0,Octadecanoic acid,,+,
ENSMUSG00000039956-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000039956-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000039990-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000039990-B,1.0,Isosorbide,,-,
ENSMUSG00000039990-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000039990-B,1.0,Octadecanoic acid,,-,
ENSMUSG00000039990-B,1.0,Tyr-Val,,+,
ENSMUSG00000040043-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000040043-B,1.0,3-(4-Methoxyphenyl)coumarin,,-,
ENSMUSG00000040043-B,1.0,Chlorobenzilate ,,-,
ENSMUSG00000040043-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000040043-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000040276-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000040276-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000040276-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000040276-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000040276-B,-1.0,"4,5-Dihydro-1H-pyrazole",,+,
ENSMUSG00000040276-B,-1.0,Chlorobenzilate ,,-,
ENSMUSG00000040276-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000040276-B,-1.0,Tyr-Val,,-,
ENSMUSG00000040649-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000040649-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000040649-B,-1.0,"2-Methylcyclohexanol, (Z)",1.0,-,-1.0
ENSMUSG00000040649-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000040649-B,-1.0,"4,5-Dihydro-1H-pyrazole",,+,
ENSMUSG00000040649-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000040649-B,-1.0,Glycine,-1.0,-,1.0
ENSMUSG00000040649-B,-1.0,Isosorbide,,-,
ENSMUSG00000040649-B,-1.0,Luciferin,,-,
ENSMUSG00000040649-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000040649-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000040693-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000040693-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000040729-B,1.0,"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether",1.0,-,1.0
ENSMUSG00000040729-B,1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,+,
ENSMUSG00000040729-B,1.0,Isosorbide,,+,
ENSMUSG00000040729-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000040729-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000040729-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000040797-B,-1.0,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1.0,-,-1.0
ENSMUSG00000040797-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000040797-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000040797-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000040797-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000040797-B,-1.0,"4,5-Dihydro-1H-pyrazole",,+,
ENSMUSG00000040797-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000040797-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000040797-B,-1.0,Tyr-Val,,-,
ENSMUSG00000040907-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000040907-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000040907-B,-1.0,"2-Butene-1,4-diol",,+,
ENSMUSG00000040907-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000040918-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000040918-B,1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000040918-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000040918-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000040918-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000040918-B,1.0,Diclofenac,,+,
ENSMUSG00000040918-B,1.0,L-Glutamic acid,,-,
ENSMUSG00000040918-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000040918-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000041020-B,1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000041020-B,1.0,Guanosine,-1.0,+,-1.0
ENSMUSG00000041020-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000041020-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000041057-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000041057-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000041057-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000041057-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000041057-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000041057-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000041057-B,-1.0,Tyr-Val,,+,
ENSMUSG00000041133-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000041133-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,-,
ENSMUSG00000041133-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000041133-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000041133-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000041147-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000041147-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000041147-B,1.0,Diclofenac,,+,
ENSMUSG00000041147-B,1.0,Isosorbide,,+,
ENSMUSG00000041147-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000041147-B,1.0,L-Ornithine,,-,
ENSMUSG00000041147-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000041308-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000041308-B,1.0,Isosorbide,,-,
ENSMUSG00000041308-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000041308-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000041308-B,1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,+,
ENSMUSG00000041308-B,1.0,Tyr-Val,,+,
ENSMUSG00000041468-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000041468-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000041468-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
