Gene,Metabolite,Pooled r,Pooled p,Pooled FDR
ENSMUSG00000003360,1-Octadecanol,-0.540103163,0.030795683,0.2243923302896578
ENSMUSG00000003360,13-Docosenamide,-0.079646364,0.769363028,0.841077692
ENSMUSG00000003360,2-Ethyl-3-hydroxypropionic acid,-0.157055333,0.5471828877856478,0.6899728447929406
ENSMUSG00000003360,2-Naphthol,-0.447578257,0.071620089,0.292786105
ENSMUSG00000003360,"2,2-Diallylpyrrolidine",-0.214123562,0.5272397481424833,0.6755082664917214
ENSMUSG00000003360,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",-0.209816109,0.4189427962862952,0.5976425841856482
ENSMUSG00000003360,"2,4-Diamino-6,7-dimethylpteridine",-0.477941176,0.052328542,0.2638680359732049
ENSMUSG00000003360,3-(2-Hydroxyethyl)imidazole-2-thione,-0.250153327,0.3328638902974723,0.535934777
ENSMUSG00000003360,"3-Hydroxy-2,3-dihydromaltol",-0.362031003,0.1682224422930729,0.3990330380271299
ENSMUSG00000003360,3-Methylvaleric acid,-0.021428571,0.939577904,0.9562331368878774
ENSMUSG00000003360,"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",-0.47492832,0.063029429,0.2809877492020964
