Gene,Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
ENSMUSG00000001014-P,ENSMUSG00000001014,"3,5-Dimethylpyrazole",0.3478626213914691,0.4992532181146331,6,0.5000000000000001,0.6666666666666667,3,0.05910828,0.8998298673144343,7,0.213701543,0.4267812374046863,16,TRUE,+,0.604129408
ENSMUSG00000001014-P,ENSMUSG00000001014,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",0.1428571428571428,0.7871720116618075,6,0.2108185106778919,0.7891814893221081,4,0.3152441624956402,0.4910161978992569,7,0.111745694,0.6693891100839787,17,TRUE,+,0.7725679264493445
ENSMUSG00000001014-P,ENSMUSG00000001014,4-Methoxyphenol,0.6,0.2079999999999998,6,0.7378647873726218,0.2621352126273781,4,0.078811041,0.8666213432418689,7,0.3276180570897602,0.1992482971599924,17,TRUE,+,0.4276088290943132
ENSMUSG00000001014-P,ENSMUSG00000001014,4-Methylvaleric acid,0.5161002296110789,0.2945837414624608,6,0.7378647873726218,0.2621352126273781,4,0.3743524429635728,0.4080580175675019,7,0.5550111122456023,0.020745736,17,TRUE,+,0.2011629171405379
ENSMUSG00000001014-P,ENSMUSG00000001014,"5-Androsten-17alpha-methyl-3beta,17beta-diol",0.3999999999999999,0.6,4,0.5,0.6666666666666667,3,0.5642880936468347,0.3217233358243002,5,0.5281821114029991,0.0775272,12,TRUE,+,0.3010092996186931
ENSMUSG00000001014-P,ENSMUSG00000001014,"7-Isoquinolinol, 1,2,3,4-tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-",0.316227766,0.683772234,4,0.316227766,0.683772234,4,0.069583743,0.8821567461671105,7,0.2168530189715139,0.4375641569312575,15,TRUE,+,0.6108667700479077
ENSMUSG00000001014-P,ENSMUSG00000001014,"9,12-Octadecadienoic acid",0.5,0.6666666666666667,3,0.316227766,0.683772234,4,0.2581988897471611,0.7418011102528389,4,0.2574348990963099,0.4447300194276705,11,TRUE,+,0.6161574589162276
ENSMUSG00000001014-P,ENSMUSG00000001014,"Acetamide, N,N-diethyl-",0.4413674147523747,0.3809392104771887,6,0.7378647873726218,0.2621352126273781,4,0.3680373690492888,0.4166411941492189,7,0.4269681713702122,0.087395119,17,TRUE,+,0.3146134362099188
ENSMUSG00000001014-P,ENSMUSG00000001014,Acetoacetic acid,0.6668859288553501,0.2188939813132316,5,0.7378647873726218,0.2621352126273781,4,0.5000000000000001,0.3910022189557705,5,0.2590622367226646,0.3711310087753398,14,TRUE,+,0.5643766197043311
ENSMUSG00000001014-P,ENSMUSG00000001014,Aceturic acid,0.4999999999999999,0.3910022189557705,5,0.8660254037844387,0.3333333333333332,3,0.428746463,0.3962871497281169,6,0.025845106,0.9301143182411288,14,TRUE,+,0.9505416198358012
